STAND_CN,STANDPLOT_CN,VARIANT,FPAG
12964130010497,12964130010497_1,EC,CWF4
12964130010497,12964130010497_2,EC,CWF4
12964130010497,12964130010497_3,EC,CWF4
12964130010497,12964130010497_4,EC,CWF4
12964449010497,12964449010497_1,EC,CDS6
12964449010497,12964449010497_2,EC,CDS6
12964449010497,12964449010497_3,EC,CDS6
12964449010497,12964449010497_4,EC,CDS6
12964657010497,12964657010497_1,EC,CDS6
12964657010497,12964657010497_2,EC,CDS6
12964657010497,12964657010497_3,EC,CDS6
12964657010497,12964657010497_4,EC,CDS6
12964991010497,12964991010497_1,EC,CDS2
12964991010497,12964991010497_2,EC,CDS2
12964991010497,12964991010497_3,EC,CDS2
12964991010497,12964991010497_4,EC,CDS2
12965290010497,12965290010497_1,EC,CDS6
12965290010497,12965290010497_2,EC,CDS6
12965290010497,12965290010497_3,EC,CDS6
12965290010497,12965290010497_4,EC,CDS6
12965572010497,12965572010497_1,EC,CAS3
12965572010497,12965572010497_2,EC,CAS3
12965572010497,12965572010497_3,EC,CAS3
12965572010497,12965572010497_4,EC,CAS3
12965856010497,12965856010497_1,EC,CDG1
12965856010497,12965856010497_2,EC,CDG1
12965856010497,12965856010497_3,EC,CDG1
12965856010497,12965856010497_4,EC,CDG1
12966076010497,12966076010497_1,EC,CMS3
12966076010497,12966076010497_4,EC,CMS3
12966246010497,12966246010497_1,EC,CWF4
12966246010497,12966246010497_2,EC,CWF4
12966246010497,12966246010497_3,EC,CWF4
12966246010497,12966246010497_4,EC,CWF4
12966592010497,12966592010497_1,EC,CMS3
12966592010497,12966592010497_3,EC,CMS3
12966592010497,12966592010497_4,EC,CMS3
12966841010497,12966841010497_1,EC,CWS5
12966841010497,12966841010497_2,EC,CWS5
12966841010497,12966841010497_3,EC,CWS5
12967289010497,12967289010497_1,EC,CHS1
12967289010497,12967289010497_2,EC,CHS1
12967289010497,12967289010497_3,EC,CHS1
12967289010497,12967289010497_4,EC,CHS1
12967580010497,12967580010497_2,EC,CES4
12967580010497,12967580010497_3,EC,CES4
12967580010497,12967580010497_4,EC,CES4
12967921010497,12967921010497_1,EC,CES4
12967921010497,12967921010497_2,EC,CES4
12967921010497,12967921010497_3,EC,CES4
12968112010497,12968112010497_1,EC,CPS2
12968112010497,12968112010497_2,EC,CPS2
12968112010497,12968112010497_3,EC,CPS2
12968112010497,12968112010497_4,EC,CPS2
12968351010497,12968351010497_1,EC,CDS6
12968351010497,12968351010497_4,EC,CDS6
12968477010497,12968477010497_1,EC,CES2
12968477010497,12968477010497_2,EC,CES2
12968477010497,12968477010497_3,EC,CES2
12968477010497,12968477010497_4,EC,CES2
12968796010497,12968796010497_1,EC,CES1
12968796010497,12968796010497_2,EC,CES1
12968796010497,12968796010497_4,EC,CES1
12969073010497,12969073010497_1,EC,CES4
12969073010497,12969073010497_2,EC,CES4
12969073010497,12969073010497_3,EC,CES4
12969073010497,12969073010497_4,EC,CES4
12969372010497,12969372010497_1,EC,CES4
12969372010497,12969372010497_2,EC,CES4
12969372010497,12969372010497_3,EC,CES4
12969372010497,12969372010497_4,EC,CES4
12969696010497,12969696010497_1,EC,CMS3
12969696010497,12969696010497_2,EC,CMS3
12969696010497,12969696010497_3,EC,CMS3
12970163010497,12970163010497_1,EC,CDG1
12970163010497,12970163010497_2,EC,CDG1
12970163010497,12970163010497_3,EC,CDG1
12970163010497,12970163010497_4,EC,CDG1
12970308010497,12970308010497_1,EC,CAC1
12970308010497,12970308010497_2,EC,CAC1
12970308010497,12970308010497_3,EC,CAC1
12970308010497,12970308010497_4,EC,CAC1
12978066010497,12978066010497_1,WC,CHS6
12978066010497,12978066010497_2,WC,CHS6
12978066010497,12978066010497_3,WC,CHS6
12978066010497,12978066010497_4,WC,CHS6
12978785010497,12978785010497_1,EC,CPS2
12978785010497,12978785010497_2,EC,CPS2
12978785010497,12978785010497_3,EC,CPS2
12978785010497,12978785010497_4,EC,CPS2
12978919010497,12978919010497_2,EC,CDS6
12978919010497,12978919010497_3,EC,CDS6
12978919010497,12978919010497_4,EC,CDS6
12979119010497,12979119010497_1,EC,CDS7
12979119010497,12979119010497_2,EC,CDS7
12979119010497,12979119010497_3,EC,CDS7
12979119010497,12979119010497_4,EC,CDS7
12979334010497,12979334010497_1,EC,CPG1
12979334010497,12979334010497_2,EC,CPG1
12979334010497,12979334010497_3,EC,CPG1
12979334010497,12979334010497_4,EC,CPG1
12979503010497,12979503010497_1,EC,CPG1
12979503010497,12979503010497_2,EC,CPG1
12979503010497,12979503010497_3,EC,CPG1
12979503010497,12979503010497_4,EC,CPG1
12979628010497,12979628010497_1,EC,CEF2
12979628010497,12979628010497_2,EC,CEF2
12979628010497,12979628010497_3,EC,CEF2
12979628010497,12979628010497_4,EC,CEF2
12979966010497,12979966010497_1,EC,CDG1
12979966010497,12979966010497_2,EC,CDG1
12979966010497,12979966010497_3,EC,CDG1
12979966010497,12979966010497_4,EC,CDG1
12980164010497,12980164010497_1,EC,CPS2
12980164010497,12980164010497_2,EC,CPS5
12980164010497,12980164010497_3,EC,CPS2
12980320010497,12980320010497_1,EC,CES4
12980320010497,12980320010497_2,EC,CES4
12980320010497,12980320010497_3,EC,CES4
12980320010497,12980320010497_4,EC,CES4
12980723010497,12980723010497_1,EC,CDS7
12980723010497,12980723010497_2,EC,CDS7
12980723010497,12980723010497_3,EC,CDS7
12980723010497,12980723010497_4,EC,CDS7
12981004010497,12981004010497_1,EC,CES3
12981004010497,12981004010497_2,EC,CES3
12981004010497,12981004010497_3,EC,CES3
12981004010497,12981004010497_4,EC,CES3
12981628010497,12981628010497_1,EC,CES3
12981628010497,12981628010497_2,EC,CES3
12981628010497,12981628010497_3,EC,CES3
12981628010497,12981628010497_4,EC,CES3
12981943010497,12981943010497_1,EC,CDS8
12981943010497,12981943010497_2,EC,CDS8
12981943010497,12981943010497_3,EC,CDS8
12981943010497,12981943010497_4,EC,CDS8
12982397010497,12982397010497_1,EC,CDS7
12982397010497,12982397010497_3,EC,CDS7
12982397010497,12982397010497_4,EC,CDS7
12982620010497,12982620010497_2,EC,CDS7
12982620010497,12982620010497_4,EC,CDS7
12983238010497,12983238010497_1,EC,CES1
12983238010497,12983238010497_2,EC,CES1
12983238010497,12983238010497_3,EC,CES1
12983238010497,12983238010497_4,EC,CES1
12987584010497,12987584010497_1,WC,CD
12987584010497,12987584010497_2,WC,CD
12987584010497,12987584010497_3,WC,CD
12987584010497,12987584010497_4,WC,CD
12987852010497,12987852010497_1,WC,CH
12987852010497,12987852010497_2,WC,CH
12987852010497,12987852010497_3,WC,CH
12987852010497,12987852010497_4,WC,CH
12988512010497,12988512010497_1,EC,CD
12988512010497,12988512010497_2,EC,CD
12988512010497,12988512010497_3,EC,CD
12988512010497,12988512010497_4,EC,CD
12988854010497,12988854010497_1,EC,CMS3
12988854010497,12988854010497_2,EC,CMS3
12988854010497,12988854010497_3,EC,CMS3
12988854010497,12988854010497_4,EC,CMS3
12989194010497,12989194010497_1,WC,CH
12989194010497,12989194010497_2,WC,CH
12989194010497,12989194010497_3,WC,CH
12989194010497,12989194010497_4,WC,CH
12989549010497,12989549010497_1,WC,CH
12989549010497,12989549010497_2,WC,HC
12989549010497,12989549010497_3,WC,CH
12989732010497,12989732010497_1,WC,CHS2
12989732010497,12989732010497_2,WC,CHS2
12989732010497,12989732010497_3,WC,CHS2
12990036010497,12990036010497_1,WC,CMS3
12990036010497,12990036010497_2,WC,CMS3
12990036010497,12990036010497_3,WC,CMS3
12990036010497,12990036010497_4,WC,CMS3
12990405010497,12990405010497_1,WC,CH
12990405010497,12990405010497_2,WC,CH
12990405010497,12990405010497_3,WC,CH
12990405010497,12990405010497_4,WC,CH
12990744010497,12990744010497_1,WC,CFF4
12990744010497,12990744010497_2,WC,CFF4
12990744010497,12990744010497_3,WC,CFF4
12990744010497,12990744010497_4,WC,CFF4
12991499010497,12991499010497_1,EC,CWG1
12991499010497,12991499010497_3,EC,CWG1
12991499010497,12991499010497_4,EC,CWG1
12991735010497,12991735010497_1,EC,CWG1
12991735010497,12991735010497_2,EC,CWG1
12991735010497,12991735010497_3,EC,CWG1
12992402010497,12992402010497_2,EC,CWS2
12992402010497,12992402010497_3,EC,CWS2
12992402010497,12992402010497_4,EC,CWS2
12992742010497,12992742010497_1,EC,CWF2
12992742010497,12992742010497_2,EC,CWF2
12992742010497,12992742010497_3,EC,CWF2
12992742010497,12992742010497_4,EC,CWF2
12993100010497,12993100010497_1,WC,CFS1
12993100010497,12993100010497_2,WC,CFS1
12993100010497,12993100010497_3,WC,CFS1
12993100010497,12993100010497_4,WC,CFS1
12993566010497,12993566010497_3,EC,CP
12993736010497,12993736010497_1,EC,CF
12993736010497,12993736010497_2,EC,CF
12993736010497,12993736010497_3,EC,CF
12993736010497,12993736010497_4,EC,CF
12994021010497,12994021010497_1,EC,CWG1
12994021010497,12994021010497_2,EC,CWG1
12994021010497,12994021010497_3,EC,CWG1
12994021010497,12994021010497_4,EC,CWG1
12994209010497,12994209010497_1,EC,CFF2
12994209010497,12994209010497_2,EC,CFF2
12994209010497,12994209010497_3,EC,CFF2
12994209010497,12994209010497_4,EC,CFF2
12994639010497,12994639010497_1,EC,CEG3
12994639010497,12994639010497_2,EC,CEG3
12994639010497,12994639010497_4,EC,CEG3
12994987010497,12994987010497_1,EC,CMS3
12994987010497,12994987010497_2,EC,CMS3
12994987010497,12994987010497_3,EC,CMS3
12994987010497,12994987010497_4,EC,CMS3
12995357010497,12995357010497_1,EC,CDG1
12995357010497,12995357010497_2,EC,CDG1
12995357010497,12995357010497_4,EC,CDG1
12995584010497,12995584010497_1,EC,CMS2
12995584010497,12995584010497_2,EC,CMS2
12995584010497,12995584010497_3,EC,CDS6
12995584010497,12995584010497_4,EC,CMS2
12995862010497,12995862010497_1,EC,CMS3
12995862010497,12995862010497_2,EC,CMS3
12995862010497,12995862010497_3,EC,CMS3
12995862010497,12995862010497_4,EC,CMS3
12996220010497,12996220010497_1,EC,CWS2
12996220010497,12996220010497_2,EC,CWS2
12996220010497,12996220010497_3,EC,CWS2
12996220010497,12996220010497_4,EC,CWS2
12996530010497,12996530010497_1,EC,CWS5
12996530010497,12996530010497_2,EC,CWS5
12996530010497,12996530010497_3,EC,CWS5
12996530010497,12996530010497_4,EC,CWS5
12996941010497,12996941010497_1,EC,CDG1
12996941010497,12996941010497_2,EC,CDG1
12996941010497,12996941010497_3,EC,CDG1
12996941010497,12996941010497_4,EC,CDG1
12997185010497,12997185010497_1,EC,CHF2
12997185010497,12997185010497_2,EC,CHF2
12997185010497,12997185010497_3,EC,CHF2
12997185010497,12997185010497_4,EC,CHF2
12997595010497,12997595010497_1,WC,CDS6
12997595010497,12997595010497_2,WC,CDS6
12997595010497,12997595010497_3,WC,CDS6
12997595010497,12997595010497_4,WC,CDS6
12997799010497,12997799010497_1,WC,CD
12997799010497,12997799010497_2,WC,CD
12997981010497,12997981010497_1,WC,CHF1
12997981010497,12997981010497_2,WC,CHF1
12997981010497,12997981010497_3,WC,CHF1
12997981010497,12997981010497_4,WC,CHF1
12998890010497,12998890010497_1,WC,CHS6
12998890010497,12998890010497_2,WC,CHS6
12998890010497,12998890010497_3,WC,CHS6
12998890010497,12998890010497_4,WC,CHS6
12999289010497,12999289010497_1,WC,CFS5
12999289010497,12999289010497_2,WC,CFS5
12999289010497,12999289010497_3,WC,CFS5
12999289010497,12999289010497_4,WC,CFS5
12999481010497,12999481010497_1,WC,CHF1
12999481010497,12999481010497_2,WC,CHF1
12999481010497,12999481010497_3,WC,CHF1
12999481010497,12999481010497_4,WC,CHF1
13000318010497,13000318010497_1,WC,CH
13000318010497,13000318010497_2,WC,CH
13000318010497,13000318010497_3,WC,CH
13000318010497,13000318010497_4,WC,CH
13000544010497,13000544010497_1,WC,CFS2
13000544010497,13000544010497_2,WC,CFS2
13000544010497,13000544010497_3,WC,CFS2
13000544010497,13000544010497_4,WC,CFS2
13000845010497,13000845010497_2,WC,CF
13000845010497,13000845010497_4,WC,CF
13001314010497,13001314010497_1,WC,CHS6
13001314010497,13001314010497_2,WC,CHS6
13001314010497,13001314010497_3,WC,CHS6
13001314010497,13001314010497_4,WC,CHS6
13001742010497,13001742010497_1,WC,CHS1
13001742010497,13001742010497_2,WC,CHS1
13001742010497,13001742010497_4,WC,CHS1
13002016010497,13002016010497_1,WC,CFF1
13002016010497,13002016010497_2,WC,CFF1
13002016010497,13002016010497_3,WC,CFF1
13002016010497,13002016010497_4,WC,CFF1
13002451010497,13002451010497_1,WC,CFS1
13002451010497,13002451010497_2,WC,CFS1
13002451010497,13002451010497_3,WC,CFS1
13002451010497,13002451010497_4,WC,CFS1
13003271010497,13003271010497_1,WC,CFS2
13003271010497,13003271010497_2,WC,CFS2
13003271010497,13003271010497_3,WC,CFS2
13003271010497,13003271010497_4,WC,CFS2
13003592010497,13003592010497_1,WC,CWS5
13003592010497,13003592010497_2,WC,CWS5
13003592010497,13003592010497_3,WC,CWS5
13003592010497,13003592010497_4,WC,CWS5
13004016010497,13004016010497_1,WC,CFS2
13004016010497,13004016010497_3,WC,CFS2
13004400010497,13004400010497_1,WC,CHF1
13004400010497,13004400010497_2,WC,CHF1
13004400010497,13004400010497_4,WC,CHF1
13004916010497,13004916010497_1,WC,CFS2
13004916010497,13004916010497_2,WC,CFS2
13004916010497,13004916010497_3,WC,CFS2
13004916010497,13004916010497_4,WC,CFS2
13005723010497,13005723010497_1,WC,CMS2
13005723010497,13005723010497_2,WC,CMS2
13005723010497,13005723010497_3,WC,CMS2
13005723010497,13005723010497_4,WC,CMS2
13006851010497,13006851010497_1,WC,CHS6
13006851010497,13006851010497_2,WC,CHS6
13006851010497,13006851010497_3,WC,CHS6
13006851010497,13006851010497_4,WC,CHS6
13007258010497,13007258010497_1,WC,CH
13007258010497,13007258010497_2,WC,CH
13007258010497,13007258010497_3,WC,CH
13008009010497,13008009010497_1,WC,CH
13008009010497,13008009010497_2,WC,CH
13008009010497,13008009010497_3,WC,CH
13008009010497,13008009010497_4,WC,CH
13008271010497,13008271010497_1,WC,CH
13008271010497,13008271010497_2,WC,CH
13008271010497,13008271010497_3,WC,CH
13008616010497,13008616010497_1,WC,CMS2
13008616010497,13008616010497_2,WC,CMS2
13008616010497,13008616010497_3,WC,CMS2
13008616010497,13008616010497_4,WC,CMS2
13008955010497,13008955010497_1,WC,CMS3
13008955010497,13008955010497_2,WC,CMS3
13008955010497,13008955010497_3,WC,CMS3
13008955010497,13008955010497_4,WC,CMS3
13009244010497,13009244010497_1,WC,CFS3
13009244010497,13009244010497_2,WC,CFS3
13009244010497,13009244010497_3,WC,CFS3
13009244010497,13009244010497_4,WC,CFS3
13009646010497,13009646010497_1,WC,CH
13009646010497,13009646010497_2,WC,CH
13009646010497,13009646010497_3,WC,CH
13009646010497,13009646010497_4,WC,CH
13009978010497,13009978010497_2,WC,CHF1
13009978010497,13009978010497_4,WC,CHF1
13010583010497,13010583010497_1,WC,CH
13010583010497,13010583010497_2,WC,CH
13010748010497,13010748010497_1,WC,CHF1
13010748010497,13010748010497_2,WC,CHF1
13010748010497,13010748010497_3,WC,CHF1
13010748010497,13010748010497_4,WC,CHF1
13011085010497,13011085010497_1,EC,CP
13011085010497,13011085010497_2,EC,CP
13011085010497,13011085010497_3,EC,CP
13011085010497,13011085010497_4,EC,CP
13011286010497,13011286010497_1,EC,CP
13011286010497,13011286010497_2,EC,CP
13011286010497,13011286010497_3,EC,CP
13011286010497,13011286010497_4,EC,CP
13012290010497,13012290010497_1,EC,CD
13012290010497,13012290010497_2,EC,CD
13012290010497,13012290010497_3,EC,CD
13012290010497,13012290010497_4,EC,CD
13012518010497,13012518010497_1,EC,CP
13012518010497,13012518010497_2,EC,CP
13012518010497,13012518010497_3,EC,CP
13012518010497,13012518010497_4,EC,CP
13012698010497,13012698010497_1,EC,CD
13012698010497,13012698010497_2,EC,CD
13012698010497,13012698010497_3,EC,CD
13012881010497,13012881010497_1,EC,CD
13012881010497,13012881010497_2,EC,CD
13012881010497,13012881010497_3,EC,CD
13012881010497,13012881010497_4,EC,CD
13013076010497,13013076010497_1,EC,CD
13013076010497,13013076010497_2,EC,CD
13013076010497,13013076010497_3,EC,CD
13013076010497,13013076010497_4,EC,CD
13013299010497,13013299010497_1,EC,CD
13013299010497,13013299010497_2,EC,CD
13013299010497,13013299010497_3,EC,CD
13013299010497,13013299010497_4,EC,CD
13013511010497,13013511010497_1,EC,CW
13013511010497,13013511010497_2,EC,CW
13013511010497,13013511010497_3,EC,CW
13013511010497,13013511010497_4,EC,CW
13013656010497,13013656010497_1,EC,CP
13013656010497,13013656010497_2,EC,CD
13013656010497,13013656010497_3,EC,CP
13013656010497,13013656010497_4,EC,CP
13013839010497,13013839010497_1,EC,CP
13013839010497,13013839010497_2,EC,CP
13013839010497,13013839010497_3,EC,CP
13013839010497,13013839010497_4,EC,CP
13013990010497,13013990010497_1,EC,CDS7
13013990010497,13013990010497_2,EC,CDS7
13013990010497,13013990010497_3,EC,CDS7
13013990010497,13013990010497_4,EC,CDS7
13014268010497,13014268010497_2,EC,HC
13014268010497,13014268010497_3,EC,CC
13014268010497,13014268010497_4,EC,CC
13014563010497,13014563010497_1,EC,CD
13014563010497,13014563010497_2,EC,CD
13014563010497,13014563010497_3,EC,CD
13014563010497,13014563010497_4,EC,CD
13014760010497,13014760010497_1,EC,CP
13014760010497,13014760010497_2,EC,CP
13014760010497,13014760010497_4,EC,CP
13014915010497,13014915010497_1,EC,CW
13014915010497,13014915010497_2,EC,CW
13014915010497,13014915010497_4,EC,CW
13015400010497,13015400010497_1,EC,CEF4
13015400010497,13015400010497_2,EC,CEF4
13015400010497,13015400010497_3,EC,CEF4
13015400010497,13015400010497_4,EC,CEF4
13015755010497,13015755010497_1,EC,CP
13015755010497,13015755010497_2,EC,CP
13015755010497,13015755010497_3,EC,CP
13015755010497,13015755010497_4,EC,CP
13015935010497,13015935010497_1,EC,CW
13015935010497,13015935010497_2,EC,CW
13015935010497,13015935010497_3,EC,CW
13015935010497,13015935010497_4,EC,CW
13016117010497,13016117010497_1,EC,CC
13016117010497,13016117010497_2,EC,CC
13016117010497,13016117010497_3,EC,CC
13016117010497,13016117010497_4,EC,CC
13017118010497,13017118010497_1,WC,CH
13017118010497,13017118010497_2,WC,CH
13017118010497,13017118010497_3,WC,CH
13017118010497,13017118010497_4,WC,CH
13018219010497,13018219010497_1,EC,CPG1
13018219010497,13018219010497_2,EC,CPG1
13018219010497,13018219010497_3,EC,CPG1
13018219010497,13018219010497_4,EC,CPG1
13020784010497,13020784010497_1,EC,CDG1
13020784010497,13020784010497_2,EC,CDG1
13020784010497,13020784010497_3,EC,CDG1
13020784010497,13020784010497_4,EC,CDG1
13020972010497,13020972010497_1,EC,CD
13020972010497,13020972010497_2,EC,CD
13020972010497,13020972010497_3,EC,CD
13020972010497,13020972010497_4,EC,CD
13021405010497,13021405010497_1,EC,CDG1
13021405010497,13021405010497_2,EC,CDG1
13021405010497,13021405010497_3,EC,CDG1
13021405010497,13021405010497_4,EC,CDG1
13021550010497,13021550010497_1,EC,CDG1
13021550010497,13021550010497_2,EC,CDG1
13021550010497,13021550010497_3,EC,CDG1
13021550010497,13021550010497_4,EC,CDG1
13021754010497,13021754010497_3,EC,CDS6
13021754010497,13021754010497_4,EC,CDS6
13022083010497,13022083010497_1,EC,CDS6
13022083010497,13022083010497_2,EC,CDS6
13022083010497,13022083010497_3,EC,CDS6
13022083010497,13022083010497_4,EC,CDS6
13022435010497,13022435010497_1,EC,CAG1
13022435010497,13022435010497_2,EC,CAG1
13022435010497,13022435010497_4,EC,CAG1
13022606010497,13022606010497_1,EC,CDG1
13022606010497,13022606010497_2,EC,CDG1
13022606010497,13022606010497_3,EC,CDG1
13022606010497,13022606010497_4,EC,CDG1
13022840010497,13022840010497_1,EC,CDG3
13022840010497,13022840010497_2,EC,CDG3
13022840010497,13022840010497_3,EC,CDG3
13022840010497,13022840010497_4,EC,CDG3
13023123010497,13023123010497_1,EC,CDG1
13023123010497,13023123010497_2,EC,CDG1
13023123010497,13023123010497_3,EC,CDG1
13023123010497,13023123010497_4,EC,CDG1
13023283010497,13023283010497_1,EC,CES1
13023283010497,13023283010497_2,EC,CES1
13023283010497,13023283010497_3,EC,CES1
13023283010497,13023283010497_4,EC,CES1
13023641010497,13023641010497_1,EC,CPS2
13023641010497,13023641010497_2,EC,CPS2
13023641010497,13023641010497_3,EC,CPS2
13023641010497,13023641010497_4,EC,CPS2
13023777010497,13023777010497_1,EC,CDS6
13023777010497,13023777010497_2,EC,CDS6
13023777010497,13023777010497_3,EC,CDS6
13023777010497,13023777010497_4,EC,CDS6
13024015010497,13024015010497_1,EC,CDS6
13024015010497,13024015010497_2,EC,CDS6
13024015010497,13024015010497_3,EC,CDS6
13024252010497,13024252010497_1,EC,CDG1
13024252010497,13024252010497_2,EC,CDG1
13024252010497,13024252010497_3,EC,CDG1
13024252010497,13024252010497_4,EC,CDG1
13024455010497,13024455010497_1,EC,CES1
13024455010497,13024455010497_2,EC,CES1
13024455010497,13024455010497_3,EC,CES1
13024455010497,13024455010497_4,EC,CES1
13024732010497,13024732010497_1,EC,CEF2
13024732010497,13024732010497_2,EC,CDS6
13024732010497,13024732010497_4,EC,CEF2
13025184010497,13025184010497_1,EC,CDS4
13025184010497,13025184010497_2,EC,CDS4
13025184010497,13025184010497_3,EC,CDS4
13025184010497,13025184010497_4,EC,CDS4
13025401010497,13025401010497_1,EC,CDS6
13025401010497,13025401010497_2,EC,CDS6
13025401010497,13025401010497_3,EC,CDS6
13025401010497,13025401010497_4,EC,CDS6
13025678010497,13025678010497_1,EC,CDS6
13025678010497,13025678010497_3,EC,CDS6
13025678010497,13025678010497_4,EC,CDS6
13025974010497,13025974010497_1,EC,CDS6
13025974010497,13025974010497_3,EC,CDS6
13026273010497,13026273010497_1,EC,CES2
13026273010497,13026273010497_2,EC,CES2
13026273010497,13026273010497_3,EC,CES2
13026273010497,13026273010497_4,EC,CES2
13026585010497,13026585010497_1,EC,CEF4
13026585010497,13026585010497_2,EC,CEF4
13026585010497,13026585010497_3,EC,CEF4
13026585010497,13026585010497_4,EC,CEF4
13026974010497,13026974010497_1,EC,CD
13026974010497,13026974010497_2,EC,CD
13026974010497,13026974010497_3,EC,CD
13026974010497,13026974010497_4,EC,CD
13027182010497,13027182010497_1,EC,CES
13027182010497,13027182010497_2,EC,CES
13027182010497,13027182010497_3,EC,CES
13027182010497,13027182010497_4,EC,CES
13027544010497,13027544010497_1,EC,CEF4
13027544010497,13027544010497_3,EC,CEF4
13027896010497,13027896010497_1,EC,CFS5
13027896010497,13027896010497_2,EC,CFS5
13027896010497,13027896010497_3,EC,CFS5
13027896010497,13027896010497_4,EC,CFS5
13028303010497,13028303010497_1,EC,CDG1
13028303010497,13028303010497_2,EC,CDG1
13028303010497,13028303010497_3,EC,CDG1
13028303010497,13028303010497_4,EC,CDG1
13028606010497,13028606010497_1,EC,CAC1
13028606010497,13028606010497_2,EC,CAC1
13028606010497,13028606010497_3,EC,CAC1
13028606010497,13028606010497_4,EC,CAC1
13028844010497,13028844010497_1,EC,CEM2
13028844010497,13028844010497_2,EC,CEM2
13028844010497,13028844010497_3,EC,CEM2
13028844010497,13028844010497_4,EC,CEM2
13029231010497,13029231010497_1,EC,CES4
13029231010497,13029231010497_3,EC,CES4
13029231010497,13029231010497_4,EC,CES4
13029405010497,13029405010497_1,EC,CES4
13029405010497,13029405010497_2,EC,CES4
13029405010497,13029405010497_3,EC,CES4
13029405010497,13029405010497_4,EC,CES4
13030125010497,13030125010497_1,EC,CDG1
13030125010497,13030125010497_2,EC,CDG1
13030125010497,13030125010497_3,EC,CDG1
13030125010497,13030125010497_4,EC,CDG1
13032268010497,13032268010497_1,EC,CD
13032268010497,13032268010497_2,EC,CD
13032268010497,13032268010497_3,EC,CD
13032836010497,13032836010497_1,EC,CHS4
13032836010497,13032836010497_3,EC,CHS4
13032836010497,13032836010497_4,EC,CHS4
13033539010497,13033539010497_1,EC,CCS2
13033539010497,13033539010497_2,EC,CCS2
13033539010497,13033539010497_3,EC,CCS2
13033539010497,13033539010497_4,EC,CCF2
13033855010497,13033855010497_1,EC,CHF3
13033855010497,13033855010497_3,EC,CHF3
13033855010497,13033855010497_4,EC,CHF3
13034192010497,13034192010497_1,EC,CH
13034192010497,13034192010497_2,EC,CH
13034192010497,13034192010497_3,EC,CH
13034192010497,13034192010497_4,EC,CH
13034498010497,13034498010497_1,EC,CCF2
13034498010497,13034498010497_2,EC,CCF2
13034498010497,13034498010497_3,EC,CCF2
13034498010497,13034498010497_4,EC,CCF2
13034882010497,13034882010497_2,EC,CHF3
13034882010497,13034882010497_4,EC,CHF3
13035304010497,13035304010497_1,EC,CCF2
13035304010497,13035304010497_2,EC,CCF2
13035304010497,13035304010497_4,EC,CWS4
13035592010497,13035592010497_1,EC,CDS7
13035592010497,13035592010497_2,EC,CDS7
13035592010497,13035592010497_3,EC,CDS7
13035592010497,13035592010497_4,EC,CDS7
13036367010497,13036367010497_1,EC,CHF3
13036367010497,13036367010497_2,EC,CHF3
13036367010497,13036367010497_3,EC,CHF3
13036367010497,13036367010497_4,EC,CHF3
13036910010497,13036910010497_1,EC,CCF2
13036910010497,13036910010497_2,EC,CCF2
13036910010497,13036910010497_3,EC,CCF2
13036910010497,13036910010497_4,EC,CCF2
13037626010497,13037626010497_1,WC,CFS2
13037626010497,13037626010497_2,WC,CFS2
13037626010497,13037626010497_3,WC,CFS2
13037626010497,13037626010497_4,WC,CFS2
13038857010497,13038857010497_1,WC,CH
13038857010497,13038857010497_2,WC,CH
13038857010497,13038857010497_3,WC,CH
13038857010497,13038857010497_4,WC,CH
13039127010497,13039127010497_1,WC,CFS2
13039127010497,13039127010497_2,WC,CFS2
13039127010497,13039127010497_3,WC,CFS2
13039127010497,13039127010497_4,WC,CFS2
13039392010497,13039392010497_1,WC,CFS2
13039392010497,13039392010497_2,WC,CFS2
13039392010497,13039392010497_3,WC,CFS2
13039392010497,13039392010497_4,WC,CFS2
13041108010497,13041108010497_1,WC,HA
13041108010497,13041108010497_2,WC,HA
13041108010497,13041108010497_3,WC,HA
13041108010497,13041108010497_4,WC,HA
13049455010497,13049455010497_1,WC,CHS6
13049455010497,13049455010497_2,WC,CHS6
13049455010497,13049455010497_3,WC,CHS6
13049707010497,13049707010497_1,WC,CF
13049707010497,13049707010497_2,WC,CF
13049707010497,13049707010497_3,WC,CF
13049707010497,13049707010497_4,WC,CF
13050083010497,13050083010497_1,WC,CH
13050083010497,13050083010497_2,WC,CH
13050083010497,13050083010497_3,WC,CH
13050083010497,13050083010497_4,WC,CH
13050584010497,13050584010497_1,WC,CMS2
13050584010497,13050584010497_2,WC,CMS2
13050584010497,13050584010497_3,WC,CMS2
13050584010497,13050584010497_4,WC,CMS2
13050884010497,13050884010497_1,WC,CHF1
13050884010497,13050884010497_2,WC,CHF1
13050884010497,13050884010497_3,WC,CHF1
13050884010497,13050884010497_4,WC,CHF1
13051689010497,13051689010497_1,WC,CMS3
13051689010497,13051689010497_2,WC,CMS3
13051689010497,13051689010497_3,WC,CMS3
13051689010497,13051689010497_4,WC,CMS3
13052503010497,13052503010497_2,WC,CHS1
13052503010497,13052503010497_3,WC,CHS1
13052688010497,13052688010497_1,WC,CHS1
13052688010497,13052688010497_2,WC,CHS1
13052688010497,13052688010497_3,WC,CHS1
13052688010497,13052688010497_4,WC,CHS5
13052893010497,13052893010497_1,WC,CHS1
13052893010497,13052893010497_2,WC,CHS1
13052893010497,13052893010497_3,WC,CHS1
13052893010497,13052893010497_4,WC,CHS1
13053113010497,13053113010497_1,WC,CD
13053113010497,13053113010497_2,WC,CD
13053113010497,13053113010497_3,WC,CD
